eid,NLL,EV,MSLL,BIC,Skew,Kurtosis
LimbicA_ControlA,-5855.176558878382,0.06862002424042668,0.058647979512996745,-11670.397026394194,0.026064601813969853,-0.04711741931108972
LimbicA_ControlB,-4030.698156252637,-0.08891479456846518,-0.005239222344873308,-8021.440221142705,0.21744456281016714,0.11821013437403687
LimbicA_ControlC,-4508.193412903542,-0.1517032523514561,-0.08629734461659137,-8976.430734444513,0.4045859039805858,0.13633054607157905
LimbicA_DefaultA,-3022.4295498531455,-0.09409245721291581,-0.18152949225728557,-6004.903008343722,0.03759940433647841,-0.08087271916837026
LimbicA_DefaultB,-5321.546752269976,-0.038554662771148385,-0.009787619832097185,-10603.137413177383,0.009400426277117915,-0.5422114088311073
LimbicA_DefaultC,-5617.913364145616,-0.09157459961612124,-0.27791418116448535,-11195.870636928661,0.2645200858328846,0.07332170522569652
LimbicA_TemporalParietal,-4746.071688318114,-0.06710798497262838,-0.36201271632791593,-9452.187285273658,0.05945900001136817,0.5155853922871058
LimbicB_ControlA,-5343.590393871671,0.007016212505135844,-0.06761775103081262,-10647.224879989137,-0.21095573267171416,0.12302916865990869
LimbicB_ControlB,-3552.299162065887,-0.011505129509595369,-0.1345533460998212,-7064.642232769204,0.1549357301243601,0.7161383620076727
LimbicB_ControlC,-2858.9842197560056,-0.01531616419723747,-0.34696704152064717,-5678.012348149442,0.38144110072516396,1.227303306947118
LimbicB_DefaultA,-3753.5251960192545,-0.016892626263087962,-0.3514222056481675,-7467.094484284303,-0.05952294501930054,0.3323895898655419
LimbicB_DefaultB,-5410.0011443122385,-0.03830275025480301,-0.16536790532577933,-10780.046380870272,-0.027016653950639243,-0.23621023270937408
LimbicB_DefaultC,-3328.7109260547422,-0.03210911378775183,-0.398363474593102,-6617.465760746915,-0.18430316087836437,0.1998048017321839
LimbicB_TemporalParietal,-2045.1229029808405,-0.018597824166867394,-0.38105452473918516,-4050.2897145991114,0.46113015272383556,1.3611494393449637
ControlA_ControlB,-2679.2145848797736,0.06901351748918705,-0.1582159240247034,-5318.473078396978,-0.07969112971775417,-0.3892089128180592
ControlA_ControlC,-4597.136247590484,0.04290505879339801,-0.041366228151562066,-9154.316403818399,-0.311774670240427,0.48085465644118797
ControlA_DefaultA,-2591.148032562445,0.024383045973544015,0.032240988804610356,-5142.339973762321,-0.15627609268289336,0.7487875291966989
ControlA_DefaultB,-3817.247422796783,0.10112767954090507,-0.1399643897252637,-7594.538754230997,-0.2574272434399174,-0.2431416071661091
ControlA_DefaultC,-1169.6220938865517,0.1720967816163197,0.6204537358395427,-2299.288096410534,-0.6680956025624853,1.9227243248417796
ControlA_TemporalParietal,-2645.364239806453,0.142119975950745,0.02493461286351921,-5250.772388250337,-0.0007268136586980307,0.22788335212865246
ControlB_ControlC,-2839.61241128455,0.06496962530439443,-0.095937063651076,-5639.268731206531,-0.1451445976783941,0.3379171620992422
ControlB_DefaultA,-392.6203616847033,0.2522445259226809,-0.05357448201438612,-745.284632006837,0.25000465716769066,0.26535177571592744
ControlB_DefaultB,-2836.7533923506053,0.12851263928246304,0.029080369761768473,-5633.550693338641,-0.1603708543456096,0.0982658356657829
ControlB_DefaultC,-143.38469636585205,0.32918733056548766,-0.06458147829600673,-246.81330136913454,0.08155240928877962,0.5526119853154056
ControlB_TemporalParietal,3.0635848280608116,0.3287874123176948,0.026424702599329903,46.08326101869119,0.050297483418468784,0.6604207051915293
ControlC_DefaultA,-1505.1363140452977,0.24470155686867945,-0.11208743308140157,-2970.3165367280258,0.25314884653816266,0.6109896787181563
ControlC_DefaultB,-5000.451087662685,0.2193438033467101,-0.15724279316899065,-9960.9460839628,-0.29953137473755814,-0.6195390670459511
ControlC_DefaultC,-2380.195334199376,0.275207149802141,-0.2839668014349378,-4720.434577036182,-0.0963056203598182,-0.08455762679012387
