participant_id,age,sex,site
sub-NDARINV14F94Z7X,9.0,0,site17
sub-NDARINV14PHMUNU,10.16666667,0,site18
sub-NDARINV14R3MHDX,9.25,1,site14
sub-NDARINV14UJARAJ,9.25,0,site17
sub-NDARINV14ZFCHTA,9.916666667,0,site02
sub-NDARINV1510CJF1,10.66666667,0,site14
sub-NDARINV1535421B,9.416666667,0,site16
sub-NDARINV1555HTEC,9.0,0,site16
sub-NDARINV155U91DU,10.41666667,0,site16
sub-NDARINV158CYMLK,9.166666667,1,site21
sub-NDARINV15CWGD6V,10.16666667,1,site10
sub-NDARINV15JLE7ZN,9.083333333,0,site09
sub-NDARINV15M33G49,10.75,1,site08
sub-NDARINV15MFU6UZ,9.416666667,1,site18
sub-NDARINV15MX84A5,9.666666667,0,site14
sub-NDARINV15VX8FJL,9.083333333,1,site13
sub-NDARINV15YZBNE0,10.0,1,site21
sub-NDARINV165NRNVG,10.41666667,0,site16
sub-NDARINV165XZRTA,9.166666667,0,site11
sub-NDARINV1680LJ8D,10.25,0,site16
sub-NDARINV16C687G5,9.416666667,0,site02
sub-NDARINV16FHYZYY,9.833333333,0,site19
sub-NDARINV16GY1RE8,9.583333333,1,site20
sub-NDARINV16MGA6G5,9.416666667,0,site04
sub-NDARINV16PJ1RJ6,10.75,1,site16
sub-NDARINV16RVU5PF,9.25,0,site17
sub-NDARINV170X8DA0,10.66666667,0,site02
sub-NDARINV173ZYYKX,9.0,0,site10
sub-NDARINV174DUV2F,9.083333333,0,site14
sub-NDARINV174LD3GC,9.0,0,site07
sub-NDARINV17K4X0WD,10.83333333,0,site02
sub-NDARINV17N7VX8E,9.0,1,site04
sub-NDARINV17UGGHGJ,9.916666667,0,site03
sub-NDARINV17UL1T8L,9.75,1,site14
sub-NDARINV182YC0D9,9.25,0,site20
sub-NDARINV185KY7W3,10.66666667,1,site01
sub-NDARINV18BE29T0,9.083333333,0,site11
sub-NDARINV18E23PK7,10.58333333,1,site16
sub-NDARINV18H0Y70H,10.66666667,0,site19
sub-NDARINV18HXV64A,9.666666667,1,site12
sub-NDARINV18KWP8N1,10.91666667,0,site09
sub-NDARINV18KYVZ3C,10.41666667,1,site04
sub-NDARINV18RUWAJN,10.58333333,1,site18
sub-NDARINV18X6GN95,9.583333333,1,site11
sub-NDARINV18XYL4BV,9.5,1,site17
sub-NDARINV18YX7994,10.33333333,0,site08
sub-NDARINV190GWDVP,9.083333333,1,site01
sub-NDARINV1925AD9X,10.91666667,0,site12
sub-NDARINV193D4YEK,9.25,1,site11
sub-NDARINV1962GTLL,10.41666667,0,site19
